VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TEXCOORD0.x, TEXCOORD0.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, BINORMAL.x, BINORMAL.y, BINORMAL.z, BINORMAL.w, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z, TEXCOORD3.w, TEXCOORD4.x, TEXCOORD4.y, TEXCOORD4.z, TEXCOORD4.w, TEXCOORD5.x, TEXCOORD5.y, TEXCOORD5.z, TEXCOORD5.w
44, 14,  0.86807,  1.0,  0.86326,  0.0,  0.85882,  0.43922,  0.83922,  0.0,  0.85888,  0.13208, -0.92413,  0.0,  0.38203,  1.0, -0.0961, -0.98889, -0.11335,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
45, 16,  0.53939,  1.0,  1.0,  0.0,  0.54118,  0.38824,  0.98431,  0.0,  0.87109,  0.13208, -0.93063,  0.00583,  0.36586,  1.0, -0.31526, -0.93445, -0.16553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
46, 15,  0.86354,  0.85203,  0.85789,  0.0,  0.82745,  0.27843,  0.8,  0.0,  0.85888,  0.12988, -0.93063,  0.00583,  0.36586,  1.0, -0.31526, -0.93445, -0.16553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
47, 17,  0.52438,  0.85879,  0.99207,  0.0,  0.48627,  0.25882,  0.93725,  0.0,  0.87109,  0.12988, -0.93063,  0.00583,  0.36586,  1.0, -0.31526, -0.93445, -0.16553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
48, 20,  0.52375,  0.85924,  0.9818,  0.0,  0.51373,  0.75686,  0.07059,  0.0,  0.75341,  0.13489, -0.93408, -0.00235, -0.35701,  1.0,  0.15357,  0.93146,  0.32981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
49, 19,  0.53816,  0.99911,  0.98456,  0.0,  0.4549,  0.55686,  0.00392,  0.0,  0.75341,  0.13281, -0.94632,  0.0, -0.32316,  1.0,  0.31004,  0.94888,  0.0589,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
50, 18,  0.14788,  0.99911,  0.85043,  0.0,  0.81569,  0.51373,  0.11373,  0.0,  0.76562,  0.13281, -0.32594,  0.0, -0.94537,  1.0,  0.15357,  0.93146,  0.32981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
51, 21,  0.14044,  0.85614,  0.83438,  0.0,  0.83529,  0.72157,  0.20784,  0.0,  0.76562,  0.13489, -0.33857,  0.00327, -0.94092,  1.0,  0.06131,  0.95639, -0.28553,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
52, 20,  0.52375,  0.85924,  0.9818,  0.0,  0.51373,  0.75686,  0.07059,  0.0,  0.75341,  0.13489, -0.93408, -0.00235, -0.35701,  1.0,  0.15357,  0.93146,  0.32981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
53, 18,  0.14788,  0.99911,  0.85043,  0.0,  0.81569,  0.51373,  0.11373,  0.0,  0.76562,  0.13281, -0.32594,  0.0, -0.94537,  1.0,  0.15357,  0.93146,  0.32981,  1.0, -0.97847,  0.0,  0.2064, -3522.49585,  0.0,  1.0,  0.0, -59.77035, -0.2064,  0.0, -0.97847, -627.95282
